59.5,2.06799,57.8447,11.1726,-5.06948,-0.0930595,-0.86767,5.23588,0.119475,-0.00095
60,7.64264,55.2015,11.126,-5.50331,-0.343919,-0.828022,5.2955,0.119,-0.001
60.5,13.1627,52.3463,10.9541,-5.91732,-0.59232,-0.785195,5.35488,0.1185,-0.00105
61,18.5657,49.2895,10.6579,-6.30992,-0.835455,-0.739343,5.41399,0.117975,-0.0011
61.5,23.7902,46.0421,10.2402,-6.67959,-1.07056,-0.690632,5.47284,0.117425,-0.00115
62,28.7765,42.616,9.70492,-7.02491,-1.29494,-0.63924,5.53141,0.11685,-0.0012
62.5,33.4671,39.0236,9.05744,-7.34453,-1.50602,-0.585355,5.58969,0.11625,-0.00125
63,37.8075,35.2782,8.30444,-7.6372,-1.70134,-0.529173,5.64766,0.115625,-0.0013
63.5,41.7471,31.3935,7.45377,-7.90179,-1.87862,-0.470902,5.70531,0.114975,-0.00135
64,45.2391,27.3837,6.51446,-8.13724,-2.03576,-0.410756,5.76263,0.1143,-0.0014
64.5,48.2419,23.2637,5.49658,-8.34262,-2.17089,-0.348956,5.8196,0.1136,-0.00145
65,50.7188,19.0488,4.41113,-8.5171,-2.28235,-0.285732,5.87622,0.112875,-0.0015
65.5,52.6391,14.7545,3.26996,-8.65996,-2.36876,-0.221318,5.93247,0.112125,-0.00155
66,53.978,10.3969,2.08558,-8.77062,-2.42901,-0.155954,5.98834,0.11135,-0.0016
66.5,54.7171,5.9921,0.871074,-8.8486,-2.46227,-0.0898815,6.04381,0.11055,-0.00165
67,54.8449,1.55656,-0.360062,-8.89354,-2.46802,-0.0233484,6.09888,0.109725,-0.0017
67.5,54.3564,-2.89313,-1.59407,-8.90521,-2.44604,0.0433969,6.15353,0.108875,-0.00175
68,53.2536,-7.34031,-2.81709,-8.88352,-2.39641,0.110105,6.20775,0.108,-0.0018
68.5,51.5455,-11.7683,-4.0153,-8.82846,-2.31955,0.176525,6.26153,0.1071,-0.00185
69,49.2479,-16.1605,-5.17507,-8.7402,-2.21615,0.242407,6.31484,0.106175,-0.0019
69.5,46.3833,-20.5003,-6.28315,-8.619,-2.08725,0.307504,6.36769,0.105225,-0.00195
70,42.9808,-24.7713,-7.32677,-8.46525,-1.93414,0.37157,6.42006,0.10425,-0.002
70.5,39.0757,-28.9575,-8.29384,-8.27946,-1.75841,0.434363,6.47194,0.10325,-0.00205
71,34.709,-33.0429,-9.17304,-8.06228,-1.5619,0.495644,6.52331,0.102225,-0.0021
71.5,29.9272,-37.0121,-9.95399,-7.81446,-1.34672,0.555182,6.57416,0.101175,-0.00215
72,24.7819,-40.85,-10.6274,-7.53687,-1.11518,0.612749,6.62448,0.1001,-0.0022
72.5,19.3288,-44.5418,-11.1849,-7.23049,-0.869796,0.668127,6.67425,0.099,-0.00225
73,13.6276,-48.0735,-11.6198,-6.89643,-0.613242,0.721103,6.72347,0.097875,-0.0023
73.5,7.74102,-51.4316,-11.9265,-6.53588,-0.348346,0.771474,6.77212,0.096725,-0.00235
74,1.73424,-54.6031,-12.1006,-6.15014,-0.078041,0.819047,6.82019,0.09555,-0.0024
74.5,-4.32583,-57.5758,-12.1397,-5.74062,0.194662,0.863637,6.86766,0.09435,-0.00245
75,-10.3713,-60.3381,-12.0423,-5.3088,0.46671,0.905072,6.91453,0.093125,-0.0025
75.5,-16.3342,-62.8794,-11.809,-4.85626,0.735037,0.943191,6.96078,0.091875,-0.00255
76,-22.1468,-65.1896,-11.4415,-4.38467,0.996605,0.977845,7.0064,0.0906,-0.0026
76.5,-27.7429,-67.2597,-10.9432,-3.89574,1.24843,1.0089,7.05137,0.0893,-0.00265
77,-33.0584,-69.0815,-10.3189,-3.39129,1.48763,1.03622,7.09569,0.087975,-0.0027
77.5,-38.032,-70.6476,-9.57512,-2.87318,1.71144,1.05971,7.13934,0.086625,-0.00275
78,-42.6056,-71.9518,-8.7194,-2.34333,1.91725,1.07928,7.18231,0.08525,-0.0028
78.5,-46.7256,-72.9885,-7.76078,-1.80369,2.10265,1.09483,7.22459,0.08385,-0.00285
79,-50.3432,-73.7535,-6.70945,-1.25627,2.26544,1.1063,7.26616,0.082425,-0.0029
79.5,-53.4147,-74.2433,-5.57673,-0.703124,2.40366,1.11365,7.30701,0.080975,-0.00295
80,-55.9026,-74.4557,-4.3749,-0.146298,2.51562,1.11684,7.34712,0.0795,-0.003
80.5,-57.7756,-74.3892,-3.11709,0.412119,2.5999,1.11584,7.3865,0.078,-0.00305
81,-59.0092,-74.0437,-1.81714,0.970039,2.65541,1.11066,7.42512,0.076475,-0.0031
81.5,-59.5858,-73.4199,-0.489429,1.52537,2.68136,1.1013,7.46297,0.074925,-0.00315
82,-59.4954,-72.5195,0.851252,2.07602,2.67729,1.08779,7.50004,0.07335,-0.0032
82.5,-58.7351,-71.3455,2.1899,2.61991,2.64308,1.07018,7.53631,0.07175,-0.00325
83,-57.3098,-69.9018,3.51144,3.155,2.57894,1.04853,7.57178,0.070125,-0.0033
83.5,-55.2317,-68.1932,4.80091,3.67927,2.48543,1.0229,7.60643,0.068475,-0.00335
84,-52.5205,-66.2257,6.04362,4.19072,2.36342,0.993386,7.64025,0.0668,-0.0034
84.5,-49.2033,-64.0062,7.22533,4.68741,2.21415,0.960093,7.67322,0.0651,-0.00345
85,-45.3139,-61.5425,8.33241,5.16746,2.03912,0.923137,7.70534,0.063375,-0.0035
85.5,-40.8928,-58.8434,9.35197,5.62902,1.84017,0.88265,7.73659,0.061625,-0.00355
86,-35.9868,-55.9185,10.2721,6.07035,1.6194,0.838778,7.76696,0.05985,-0.0036
86.5,-30.6483,-52.7785,11.0818,6.48974,1.37917,0.791677,7.79644,0.05805,-0.00365
87,-24.935,-49.4347,11.7713,6.88558,1.12208,0.74152,7.82501,0.056225,-0.0037
87.5,-18.9091,-45.8992,12.3324,7.25634,0.85091,0.688488,7.85265,0.054375,-0.00375
88,-12.6366,-42.185,12.7578,7.60058,0.568645,0.632774,7.87937,0.0525,-0.0038
88.5,-6.18655,-38.3056,13.0422,7.91697,0.278395,0.574584,7.90515,0.0506,-0.00385
89,0.369331,-34.2753,13.1814,8.20426,-0.0166199,0.514129,7.92997,0.048675,-0.0039
89.5,6.95793,-30.1089,13.173,8.46132,-0.313107,0.451633,7.95382,0.046725,-0.00395
90,13.5053,-25.8218,13.0165,8.68714,-0.607739,0.387326,7.97669,0.04475,-0.004
90.5,19.9376,-21.4298,12.7126,8.88081,-0.897192,0.321447,7.99856,0.04275,-0.00405
